User ID,Username,Tweet,Retweet Count,Mention Count,Follower Count,Verified,Bot Label,Location,Created At,Hashtags
132131,flong,Station activity person against natural majority none few size expect six marriage.,85,1,2353,FALSE,1,Adkinston,11-05-2020 15.29,
289683,hinesstephanie,Authority research natural life material staff rate common protect attention.,55,5,9617,TRUE,0,Sanderston,26-11-2022 5.18,both live
779715,roberttran,Manage whose quickly especially foot none to goal range case.,6,2,4363,TRUE,0,Harrisonfurt,08-08-2022 3.16,phone ahead
696168,pmason,Just cover eight opportunity strong policy which.,54,5,2242,TRUE,1,Martinezberg,14-08-2021 22.27,ever quickly new I
704441,noah87,Animal sign six data good or.,26,3,8438,FALSE,1,Camachoville,13-04-2020 21.24,foreign mention
570928,james00,See wonder travel this suffer less yard office man certainly.,41,4,3792,TRUE,1,West Cheyenne,07-05-2023 22.24,anyone respond perhaps market run
734182,leonard00,Door final sound my guess building rich.,54,0,10,TRUE,0,South Donald,21-01-2021 3.02,president
107312,lesterdaniel,Job phone price magazine worry stage check view.,64,0,1442,FALSE,1,Smithhaven,12-06-2022 16.45,option husband admit
549888,kimberlymorris,Eye rest prove mission show floor.,25,2,836,FALSE,0,Lake Brittanyville,19-12-2021 19.00,
117640,schmittjill,Add letter year performance western what culture large development fast.,67,3,6523,FALSE,1,West Hannahborough,30-07-2022 5.39,available thing
576805,hicksanthony,Through both practice point fear billion deep.,57,4,8694,FALSE,1,Harrisbury,30-08-2020 10.04,
758550,hooperdennis,Wonder accept edge enjoy top organization technology happy.,29,1,5986,TRUE,1,Rossmouth,12-03-2021 23.54,treat care eat author
383629,rcruz,Recognize nor choose over trade another involve.,60,2,6779,FALSE,0,Juliehaven,13-06-2021 22.03,
850918,dstewart,Them relate question religious require popular.,61,0,6073,TRUE,0,Port Jessicaborough,13-05-2023 20.43,upon all direction fly
675134,tracibell,Reality foreign land front PM trip him.,21,2,4846,FALSE,0,Susanville,16-11-2020 23.10,course difficult fine
607798,juliesmith,Would mention respond because when break miss reflect name result garden dog.,78,1,2342,FALSE,0,Griffithfort,20-12-2020 1.53,today question
946597,thomasbenjamin,Approach result civil age including author.,64,5,6947,FALSE,1,Port Mia,16-04-2022 20.10,about tough interesting
212211,matthewbell,Word whose smile consider certainly magazine seat sign money age data.,43,4,7945,FALSE,0,Charlesburgh,02-12-2022 16.48,every author
595841,frobinson,Range sell may science successful involve amount pressure.,39,0,8305,TRUE,1,West Donnaview,04-01-2021 17.11,cost form foot year
295469,urobinson,Although assume remember local book perhaps.,8,2,1256,FALSE,0,Maureenfort,16-12-2022 18.14,control health do fact
463487,hernandezchristian,Part admit the choice across some data edge again future exactly clearly bring.,26,4,653,TRUE,1,Lake Jose,20-04-2020 11.42,
343343,justindudley,Road politics item effect education will open others race personal car treat question.,84,4,5466,FALSE,0,Lake Marvinshire,28-02-2020 22.31,
631945,owright,Matter local us blue series produce consumer out long.,86,1,5131,TRUE,1,Lake Nancyborough,29-07-2021 10.33,tough particularly their
926923,tbecker,Character agreement mention arrive where teach parent husband development trip peace sense.,55,0,5278,FALSE,1,Lindamouth,04-08-2020 1.19,plant account
127337,nthompson,Capital can wind something must nearly.,56,1,3347,TRUE,1,Port Morganshire,04-08-2020 23.36,wonder purpose
580954,monique95,For two pattern beat president able suffer later field specific table.,43,2,4851,FALSE,0,East Erin,15-06-2020 0.29,account position foot
432390,berryemily,Strategy should green improve bar require hope Mr fall.,49,5,7600,FALSE,1,Bakerberg,04-07-2021 3.50,
131479,thomas43,Husband discover he continue security fish stand pass quickly.,7,0,706,FALSE,1,North Heidihaven,08-09-2020 21.46,
811404,bryan62,Paper black food reach model science ready.,75,1,7313,TRUE,1,Port Jennifer,22-05-2020 2.10,able have that especially
138974,owensbenjamin,Race sometimes argue him difference fall.,39,0,337,FALSE,1,Franciscoton,11-07-2021 2.30,effort situation others different sort
267991,jwu,Man me seat group thought read lead thank hundred.,77,1,7006,FALSE,0,North Josephville,07-01-2020 5.29,small knowledge
688953,craigmiller,Far forget sport nation admit myself series right this minute.,40,2,697,TRUE,0,Port Melanie,17-10-2021 0.06,mission owner know budget reason
391036,amysmith,Network see record second management thank management.,25,5,4517,TRUE,0,Russellville,16-04-2022 2.57,difficult significant at take difficult
194223,jacobscarla,Treatment wrong pattern serious ask order since.,15,2,1785,TRUE,0,South Heather,22-03-2020 0.35,sense
238448,xzimmerman,International station specific indeed laugh trial spring later store federal sing gun.,85,0,4057,TRUE,1,West Peterview,02-05-2022 16.57,sell officer rate board front
381356,xbaker,Message mission rate power visit nothing author determine need lose defense partner.,13,0,7925,FALSE,0,Rochaville,24-02-2021 12.48,before enter cover gun
387922,karenlopez,In change eat true miss interest vote cause attack.,63,4,2804,TRUE,1,North Jasonfurt,19-11-2020 7.54,series instead behind
150095,hannahross,Natural draw letter also near true so.,75,4,3544,TRUE,1,Brianmouth,09-09-2020 3.29,response learn design energy
