username,followers_count,friends_count,listed_count,favorites_count,statuses_count,description,location,verified,default_profile,default_profile_image,account_age (days),tweet_content
0918Bask,10,1000,1,20,21,15years ago X.Lines24,Tokyo .Japan .,0,0,0,20,Exploring the latest in cybersecurity trends! 🔒
1120Roll,330,485,5,3972,2660,保守見習い地元大好き人間。 経済学、電工、仏教を勉強中、ちなDeではいかんのか？ (*^◯^*),神奈川県横浜市,0,1,0,234,Just finished a deep dive into penetration testing. Exciting stuff!
14KBBrown,166,177,0,1185,1254,Let me see what your best move is!,,0,0,0,56,Learning Bash scripting for automation. Any tips?
wadespeters,2248,981,101,60304,202968,20. menna: #farida #nyc and the 80s actually you | Dragana,#freePalestine - rip paul,0,0,0,357,Networking basics are essential for security professionals. Stay sharp!
191a5bd05da04dc,21,79,0,5,82,Cosmetologist,Wichita KS,0,1,0,343,TryHackMe challenges keep me engaged and learning!
19_Joanne_87,641,1066,7,1568,12915,CHRISTIAN -Communication degree -graphic designer- makeup artist-pianist- FANGIRL: #Castle #EDBWK2MnNAA #AgentsOfShield #ESDLC #ChasingLife #SavingHope,,0,0,0,45,Reading about blockchain security. The future is decentralized!
1Dniallprincess,1042,2000,7,19012,13676,"Live, Young, Wild and Free #crazymofo",Alaska XD,0,1,0,34,CTF challenges really test your problem-solving skills. Love it!
1GisellePizarro,561,118,4,590,61294,Hey what's up guys? This is Giselle. I'm 21. College student and FanFiction writer all in one. :) #Rusher #Maslover and more. KENLOS/4 (07/22 and 11/11),"Antofagasta, Chile",0,0,0,567,Wireshark is a powerful tool for network analysis!
1Nicoleromany,337,256,4,1407,4854,,,0,1,0,786,Nmap scripting is something I want to master next!
1_DErika,421,338,5,2227,2408,I am not a perfect angel that you think you see. #Directioner #KatyCat #Mixer,,0,1,0,45,Application security is a critical skill for ethical hackers.
29PurpleDragons,335,276,4,10570,24581,John 5: 28-29,"Apia, Samoa",0,0,0,67,Metasploit is a great tool for penetration testing!
2cdevelopment,232,225,56,101,2132,"The 2C Digital Agency is determined to make a business in your city successful. Our only question is, will it be yours?",Midwest USA,0,0,0,30,SQL injection vulnerabilities are more common than you think!
2hip4tv,1948,2096,88,3,10354,KTVU Photojournalist looking for the scoop.  News is in the eye of the beholder.  I hope you like what you see here on my twitter.,"Bay Area, Ca.",0,0,0,2,Red teaming vs. blue teaming – both sides are fascinating!
3shaa_,271,216,0,8487,18484,"Jeddy, coffee & cheese",,0,0,0,43,Bug bounty hunting requires patience and skill. Respect to all hunters!
510Daniel,16,74,0,397,88,Oakland born and raised!! SJSU Graduate #ServingAndProtecting My 510 ....Interesting Random Fact: I enjoy meteorology and science!!,"Bay Area, California",0,0,0,23,"Cybersecurity is a journey, not a destination. Keep learning!"
davideb66,22,40,0,1,1299,,,0,1,1,90,Exploring the latest in cybersecurity trends! 🔒
ElisaDospina,12561,3442,110,16358,18665,"Autrice del libro #unavitatuttacurve dal 9 aprile in tutte le librerie.Top model #curvy, su @Raidue tutor di #moda per @dettofattorai2",Italy,0,0,0,34,Just finished a deep dive into penetration testing. Exciting stuff!
Vladimir65,600,755,6,14,22987,[Live Long and Prosper],"iPhone: 45.471680,9.192429",0,0,0,21,Learning Bash scripting for automation. Any tips?
RafielaMorales,398,350,2,11,7975,"Cuasi Odontologa*♥,#Bipolar, #Sarcastica & Some might say im a BiTch but I'm just a Free beast in a Wild life.- #1God'sFan, Dreamer & Music Believer~","ÜT: 18.4698712,-69.9327525",0,0,0,25,Networking basics are essential for security professionals. Stay sharp!
FabrizioC_c,413,405,8,162,20218,"I shall rise from my own death, to avenge hers with all the powers of darkness.",Firenze,0,0,0,896,TryHackMe challenges keep me engaged and learning!
Marianocrt,134,401,1,55,15259,O scrivi Italia o scrivi libertà. Due termini distanti come la Costituzione formale e quella materiale!,,0,0,0,45,Reading about blockchain security. The future is decentralized!
marzia_hayley,337,630,1,655,9551,paramore 10/06/13 ♥♥ - Tonight Alive - TVD -TO - OUAT- Revenge - TW - SPN ecc.,roma,0,0,0,14,CTF challenges really test your problem-solving skills. Love it!
RobertoBoscaini,28,105,0,38,206,"Appassionato di manga, anime, cimema, serie tv, wrestling, sport, Giappone.",Cave (RM),0,0,0,147,Wireshark is a powerful tool for network analysis!
ilsaggiolibro,2617,52,28,0,93793,,,0,0,0,236,Nmap scripting is something I want to master next!
RosannaPilano,1561,2001,0,0,490,"Focosa, onesta, sincera. Mai tradire.",Milano,0,0,0,46,Application security is a critical skill for ethical hackers.
Camillesr78,2355,2074,3,0,450,"I love to travel, go on long walks on a gorgeous day, grill out with friends, read a good book, anything involving the water, see live music or an occasional",San Francisco,0,0,0,81,Metasploit is a great tool for penetration testing!
Esteryr81,4772,5167,5,0,507,"La mia vita è una festa, ma anche quella di una donna riflessiva. Scegliete la parte che vi piace di più.",Cagliari,0,0,0,29,SQL injection vulnerabilities are more common than you think!
Moniqueeo84,5772,6022,7,0,513,"Molto socievole, amo la cucina, il vino, il calcio e gli amici.",Emilia Romagna,0,0,0,51,Red teaming vs. blue teaming – both sides are fascinating!
EsterWalshgm75,124,0,0,0,311,"I've been described as the life of the party as well as a deep thinker. I like to have fun, laugh, be ridiculous, or sit around with a drink and talk about th",San Jose,0,0,0,21,Bug bounty hunting requires patience and skill. Respect to all hunters!
Adelabx71,4375,4777,5,0,471,L'apparenza non è importante.,Roma,0,0,0,24,"Cybersecurity is a journey, not a destination. Keep learning!"
